"Time","X","Y","Z"
2024-11-26 07:40:00,,,
2024-11-26 08:00:00,,,
2024-11-26 08:20:00,,,
2024-11-26 08:40:00,,,
2024-11-26 09:00:00,,,
2024-11-26 09:20:00,2582 m/s,1443 m/s,7133 m/s
2024-11-26 09:40:00,3978 m/s,1350 m/s,6483 m/s
2024-11-26 10:00:00,,,
2024-11-26 10:20:00,,,
2024-11-26 10:40:00,,,
2024-11-26 11:00:00,,,
2024-11-26 11:20:00,,,
2024-11-26 11:40:00,,,
2024-11-26 12:00:00,,,
2024-11-26 12:20:00,,,
2024-11-26 12:40:00,2529 m/s,1451 m/s,7151 m/s
2024-11-26 13:00:00,7194 m/s,-345 m/s,-2752 m/s
2024-11-26 13:20:00,,,
2024-11-26 13:40:00,,,
2024-11-26 14:00:00,,,
2024-11-26 14:20:00,,,
2024-11-26 14:40:00,6066 m/s,-744 m/s,-4692 m/s
2024-11-26 15:00:00,,,
2024-11-26 15:20:00,,,
2024-11-26 15:40:00,,,
2024-11-26 16:00:00,,,
2024-11-26 16:20:00,,,
2024-11-26 16:40:00,,,
2024-11-26 17:00:00,,,
2024-11-26 17:20:00,,,
2024-11-26 17:40:00,,,
2024-11-26 18:00:00,,,
2024-11-26 18:20:00,,,
2024-11-26 18:40:00,,,
2024-11-26 19:00:00,,,
2024-11-26 19:20:00,,,
2024-11-26 19:40:00,,,
2024-11-26 20:00:00,,,
2024-11-26 20:20:00,,,
2024-11-26 20:40:00,,,
2024-11-26 21:00:00,2434 m/s,-1316 m/s,-7176 m/s
2024-11-26 21:20:00,,,
2024-11-26 21:40:00,,,
2024-11-26 22:00:00,,,
2024-11-26 22:20:00,,,
2024-11-26 22:40:00,3181 m/s,-1234 m/s,-6896 m/s
2024-11-26 23:00:00,,,
2024-11-26 23:20:00,,,
2024-11-26 23:40:00,6511 m/s,691 m/s,3969 m/s
2024-11-27 00:00:00,6511 m/s,691 m/s,3969 m/s
2024-11-27 00:20:00,,,
2024-11-27 00:40:00,,,
2024-11-27 01:00:00,,,
2024-11-27 01:20:00,6074 m/s,1112 m/s,4643 m/s
2024-11-27 01:40:00,,,
2024-11-27 02:00:00,,,
2024-11-27 02:20:00,,,
2024-11-27 02:40:00,,,
2024-11-27 03:00:00,,,
2024-11-27 03:20:00,,,
2024-11-27 03:40:00,,,
2024-11-27 04:00:00,,,
2024-11-27 04:20:00,,,
2024-11-27 04:40:00,,,
2024-11-27 05:00:00,,,
2024-11-27 05:20:00,,,
2024-11-27 05:40:00,,,
2024-11-27 06:00:00,,,
2024-11-27 06:20:00,,,
2024-11-27 06:40:00,,,
2024-11-27 07:00:00,,,
2024-11-27 07:20:00,,,
2024-11-27 07:40:00,,,
2024-11-27 08:00:00,,,
2024-11-27 08:20:00,,,
2024-11-27 08:40:00,,,
2024-11-27 09:00:00,,,
2024-11-27 09:20:00,4281 m/s,1390 m/s,6280 m/s
2024-11-27 09:40:00,,,
2024-11-27 10:00:00,,,
2024-11-27 10:20:00,,,
2024-11-27 10:40:00,3599 m/s,1445 m/s,6682 m/s
2024-11-27 11:00:00,,,
2024-11-27 11:20:00,,,
2024-11-27 11:40:00,,,
2024-11-27 12:00:00,,,
2024-11-27 12:20:00,,,
2024-11-27 12:40:00,6208 m/s,-334 m/s,-4433 m/s
2024-11-27 13:00:00,,,
2024-11-27 13:20:00,,,
2024-11-27 13:40:00,,,
2024-11-27 14:00:00,,,
2024-11-27 14:20:00,,,
2024-11-27 14:40:00,,,
2024-11-27 15:00:00,,,
2024-11-27 15:20:00,,,
2024-11-27 15:40:00,,,
2024-11-27 16:00:00,,,
2024-11-27 16:20:00,,,
2024-11-27 16:40:00,,,
2024-11-27 17:00:00,,,
2024-11-27 17:20:00,,,
2024-11-27 17:40:00,,,
2024-11-27 18:00:00,,,
2024-11-27 18:20:00,,,
2024-11-27 18:40:00,,,
2024-11-27 19:00:00,,,
2024-11-27 19:20:00,,,
2024-11-27 19:40:00,,,
2024-11-27 20:00:00,,,
2024-11-27 20:20:00,,,
2024-11-27 20:40:00,,,
2024-11-27 21:00:00,,,
2024-11-27 21:20:00,,,
2024-11-27 21:40:00,,,
2024-11-27 22:00:00,,,
2024-11-27 22:20:00,2842 m/s,-1227 m/s,-7040 m/s
2024-11-27 22:40:00,,,
2024-11-27 23:00:00,,,
2024-11-27 23:20:00,6708 m/s,763 m/s,3612 m/s
2024-11-27 23:40:00,,,
2024-11-28 00:00:00,,,
2024-11-28 00:20:00,,,
2024-11-28 00:40:00,,,
2024-11-28 01:00:00,,,
2024-11-28 01:20:00,,,
2024-11-28 01:40:00,,,
2024-11-28 02:00:00,,,
2024-11-28 02:20:00,,,
2024-11-28 02:40:00,,,
2024-11-28 03:00:00,,,
2024-11-28 03:20:00,,,
2024-11-28 03:40:00,,,
2024-11-28 04:00:00,,,
2024-11-28 04:20:00,,,
2024-11-28 04:40:00,,,
2024-11-28 05:00:00,,,
2024-11-28 05:20:00,,,
2024-11-28 05:40:00,,,
2024-11-28 06:00:00,,,
2024-11-28 06:20:00,,,
2024-11-28 06:40:00,,,
2024-11-28 07:00:00,,,
2024-11-28 07:20:00,,,
2024-11-28 07:40:00,,,
2024-11-28 08:00:00,,,
2024-11-28 08:20:00,,,
2024-11-28 08:40:00,3255 m/s,1513 m/s,6842 m/s
2024-11-28 09:00:00,,,
2024-11-28 09:20:00,,,
2024-11-28 09:40:00,,,
2024-11-28 10:00:00,-3447 m/s,1115 m/s,6783 m/s
2024-11-28 10:20:00,5161 m/s,1385 m/s,5582 m/s
2024-11-28 10:40:00,,,
2024-11-28 11:00:00,,,
2024-11-28 11:20:00,,,
2024-11-28 11:40:00,,,
2024-11-28 12:00:00,,,
2024-11-28 12:20:00,,,
2024-11-28 12:40:00,,,
2024-11-28 13:00:00,,,
2024-11-28 13:20:00,,,
2024-11-28 13:40:00,,,
2024-11-28 14:00:00,5461 m/s,-377 m/s,-5313 m/s
2024-11-28 14:20:00,,,
2024-11-28 14:40:00,,,
2024-11-28 15:00:00,,,
2024-11-28 15:20:00,7444 m/s,73 m/s,-2002 m/s
2024-11-28 15:40:00,3783 m/s,-1052 m/s,-6615 m/s
2024-11-28 16:00:00,,,
2024-11-28 16:20:00,,,
2024-11-28 16:40:00,,,
2024-11-28 17:00:00,,,
2024-11-28 17:20:00,,,
2024-11-28 17:40:00,,,
2024-11-28 18:00:00,,,
2024-11-28 18:20:00,,,
2024-11-28 18:40:00,,,
2024-11-28 19:00:00,,,
2024-11-28 19:20:00,,,
2024-11-28 19:40:00,,,
2024-11-28 20:00:00,,,
2024-11-28 20:20:00,,,
2024-11-28 20:40:00,,,
2024-11-28 21:00:00,,,
2024-11-28 21:20:00,,,
2024-11-28 21:40:00,,,
2024-11-28 22:00:00,2477 m/s,-1230 m/s,-7172 m/s
2024-11-28 22:20:00,,,
2024-11-28 22:40:00,,,
2024-11-28 23:00:00,,,
2024-11-28 23:20:00,,,
2024-11-28 23:40:00,,,
2024-11-29 00:00:00,,,
2024-11-29 00:20:00,,,
2024-11-29 00:40:00,7175 m/s,777 m/s,2553 m/s
2024-11-29 01:00:00,,,
2024-11-29 01:20:00,,,
2024-11-29 01:40:00,,,
2024-11-29 02:00:00,,,
2024-11-29 02:20:00,6041 m/s,1320 m/s,4631 m/s
2024-11-29 02:40:00,,,
2024-11-29 03:00:00,,,
2024-11-29 03:20:00,,,
2024-11-29 03:40:00,,,
2024-11-29 04:00:00,,,
2024-11-29 04:20:00,,,
2024-11-29 04:40:00,,,
2024-11-29 05:00:00,,,
2024-11-29 05:20:00,,,
2024-11-29 05:40:00,,,
2024-11-29 06:00:00,,,
2024-11-29 06:20:00,,,
2024-11-29 06:40:00,,,
2024-11-29 07:00:00,,,
2024-11-29 07:20:00,,,
2024-11-29 07:40:00,,,

